,wine,student,abalone,compas,adult,german_credit
n_samples,4898,4424,4177,14788,30162,1000
n_features,12,37,9,10,14,21
n_target_classes,7,3,3,2,2,2
classification_type,multiclass,multiclass,multiclass,binary,binary,binary
n_numerical_features,11,36,7,6,13,7
n_categorical_features,0,0,1,3,0,13
avg_accuracy,0.5826530612244898,0.7064406779661017,0.6143540669856459,0.6870858688302908,0.8199569036963368,0.681
avg_f1_score,0.5536695076938525,0.6818255121979145,0.613709197206147,0.6767108671577372,0.4686967566205496,0.2717308767268477
avg_roc_auc,0.762960254405313,0.8490635689179719,0.8082373658989015,0.7535793465257428,0.7911871642635833,0.5908928571428571
max_accuracy,0.7173469387755103,0.7672316384180791,0.6519138755980861,0.718052738336714,0.8713741090667992,0.73
max_f1_score,0.7077963109172456,0.7598222840369272,0.6507526043907049,0.7112188365650969,0.7169948942377826,0.5045045045045046
max_roc_auc,0.8662056983387914,0.910310386334371,0.8354209680460948,0.783775824159743,0.9270493752022243,0.7770238095238096
